Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	977.000	501.000	
	1	977.049	500.909	
	2	977.278	500.842	
	3	977.563	500.805	
	4	978.014	500.713	
	5	978.735	500.573	
	6	979.639	500.637	
	7	980.741	500.769	
	8	981.655	500.907	
	9	982.270	501.139	
	10	982.544	501.837	
	11	982.798	502.718	
	12	982.788	503.721	
	13	982.616	504.721	
	14	982.422	505.711	
	15	982.227	506.421	
	16	981.991	507.106	
	17	981.635	507.608	
	18	981.147	508.145	
	19	980.656	508.702	
	20	980.223	509.255	
	21	979.927	509.781	
	22	979.643	510.257	
	23	979.637	510.451	
	24	979.621	510.644	
	25	979.603	510.678	
	26	979.605	510.662	
	27	979.658	510.434	
	28	979.721	510.338	
	29	979.770	510.133	
	30	979.799	509.905	
	31	979.748	509.818	
	32	979.677	509.653	
	33	979.578	509.442	
	34	979.539	509.267	
	35	979.308	509.018	
	36	979.043	508.777	
	37	978.936	508.647	
	38	978.863	508.546	
	39	978.857	508.531	
	40	978.853	508.523	
	41	978.853	508.571	
	42	978.856	508.621	
	43	978.816	508.658	
	44	979.031	508.756	
	45	979.218	508.832	
	46	979.399	508.931	
	47	979.833	508.936	
	48	980.217	508.995	
	49	980.556	509.023	
	50	980.894	509.021	
	51	981.123	509.130	
	52	981.270	509.249	
	53	981.447	509.283	
	54	981.619	509.320	
	55	981.673	509.436	
	56	981.808	509.419	
	57	981.927	509.420	
	58	982.099	509.394	
	59	982.265	509.383	
	60	982.402	509.412	
	61	982.538	509.450	
	62	982.602	509.368	
	63	982.654	509.280	
	64	982.690	509.158	
	65	982.672	508.968	
	66	982.686	508.873	
	67	982.369	508.846	
	68	982.357	508.835	
	69	982.059	508.889	
	70	982.127	508.860	
	71	982.081	508.946	
	72	982.034	509.045	
	73	981.988	508.863	
	74	982.001	508.975	
	75	981.782	509.151	
	76	982.132	508.956	
	77	982.001	508.977	
	78	982.169	508.851	
	79	982.471	508.619	
	80	982.721	508.382	
	81	982.961	508.272	
	82	983.447	507.847	
	83	983.688	507.642	
	84	983.936	507.423	
	85	984.039	507.281	
	86	984.140	507.154	
	87	984.349	507.164	
	88	984.548	507.167	
	89	984.598	507.103	
	90	984.640	507.050	
	91	984.622	507.105	
	92	984.582	507.176	
	93	984.532	507.180	
	94	984.482	507.190	
	95	984.356	507.186	
	96	984.230	507.191	
	97	984.099	507.182	
	98	983.970	507.180	
	99	983.839	507.189	
	100	983.716	507.200	
	101	983.638	506.932	
	102	983.441	506.698	
	103	983.419	506.692	
	104	983.392	506.687	
	105	983.292	506.616	
	106	983.192	506.559	
	107	983.191	506.558	
	108	983.191	506.558	
	109	983.194	506.561	
	110	983.183	506.466	
	111	983.177	506.466	
	112	983.043	506.460	
	113	982.909	506.462	
	114	982.916	506.434	
	115	982.897	506.438	
	116	982.899	506.554	
	117	982.895	506.670	
	118	982.787	506.689	
	119	982.709	506.714	
	120	982.611	506.730	
	121	982.438	506.752	
	122	982.255	506.768	
	123	982.106	506.808	
	124	982.107	506.808	
	125	982.008	506.822	
	126	981.924	506.855	
	127	981.998	506.876	
	128	982.055	506.892	
	129	982.215	506.986	
	130	982.298	507.107	
	131	982.156	507.048	
	132	982.010	506.988	
	133	981.867	506.944	
	134	981.725	506.898	
	135	981.568	506.845	
	136	981.399	506.792	
	137	981.336	506.780	
	138	981.066	506.660	
	139	980.815	506.643	
	140	980.747	506.657	
	141	980.624	506.641	
	142	980.496	506.638	
	143	980.532	506.644	
	144	980.554	506.652	
	145	980.595	506.686	
	146	980.628	506.727	
	147	980.665	506.714	
	148	980.693	506.705	
	149	980.661	506.713	
	150	980.624	506.725	
	151	980.526	506.779	
	152	980.190	506.993	
	153	979.993	507.054	
	154	979.506	507.172	
	155	979.058	507.642	
	156	978.413	507.899	
	157	977.692	507.972	
	158	976.953	508.012	
	159	975.922	508.246	
	160	974.658	508.366	
	161	973.528	508.750	
	162	972.213	509.067	
	163	971.205	509.453	
	164	970.048	510.347	
	165	968.640	511.262	
	166	967.374	512.049	
	167	965.912	512.844	
	168	964.458	513.502	
	169	962.886	514.127	
	170	961.413	514.546	
	171	960.108	514.791	
	172	958.698	515.150	
	173	957.655	515.401	
	174	956.399	515.738	
	175	955.367	515.891	
	176	954.795	515.898	
	177	953.778	516.014	
	178	953.007	516.129	
	179	952.463	515.988	
	180	951.981	515.951	
	181	951.487	515.749	
	182	951.053	515.642	
	183	950.688	515.570	
	184	950.357	515.432	
	185	950.208	514.892	
	186	950.058	514.374	
	187	949.835	513.897	
	188	949.613	513.537	
	189	949.667	512.945	
	190	949.810	512.505	
	191	949.890	512.285	
	192	949.877	512.021	
	193	949.655	511.902	
	194	949.462	511.750	
	195	949.131	511.669	
	196	949.165	511.452	
	197	949.005	511.522	
	198	948.836	511.617	
	199	948.838	511.605	
	200	948.845	511.575	
	201	948.840	511.661	
	202	949.111	511.577	
	203	949.104	511.734	
	204	949.347	511.734	
	205	949.511	511.852	
	206	949.677	511.948	
	207	949.693	512.173	
	208	950.038	512.145	
	209	950.242	512.269	
	210	950.481	512.504	
	211	950.737	512.756	
	212	951.037	512.963	
	213	951.521	513.324	
	214	952.046	513.618	
	215	952.809	514.010	
	216	954.078	514.223	
	217	955.645	514.675	
	218	957.862	515.095	
	219	960.412	514.591	
	220	962.446	514.308	
	221	964.195	513.914	
	222	965.643	513.695	
	223	966.820	513.572	
	224	967.778	513.283	
	225	968.860	513.012	
	226	969.746	512.785	
	227	970.568	512.554	
	228	971.178	512.000	
	229	971.491	511.616	
	230	971.891	511.220	
	231	972.150	510.864	
	232	972.366	510.553	
	233	972.376	510.531	
	234	972.374	510.511	
	235	972.376	510.569	
	236	972.422	510.582	
	237	972.422	510.582	
	238	972.246	510.686	
	239	972.049	510.792	
	240	972.124	510.817	
	241	972.190	510.846	
	242	972.254	510.926	
	243	972.315	510.908	
	244	972.333	510.906	
	245	972.500	510.952	
	246	972.740	510.874	
	247	973.316	510.794	
	248	974.035	510.641	
	249	974.525	510.594	
	250	975.199	510.588	
	251	975.638	510.488	
	252	976.109	510.358	
	253	976.464	510.314	
	254	976.726	510.285	
	255	977.027	510.292	
	256	977.306	510.315	
	257	977.642	510.384	
	258	977.969	510.425	
	259	978.257	510.671	
	260	978.519	510.909	
	261	978.834	510.997	
	262	979.291	511.161	
	263	979.760	511.558	
	264	980.283	511.666	
	265	980.677	511.882	
	266	981.096	512.204	
	267	981.393	512.579	
	268	981.675	512.988	
	269	981.784	513.512	
	270	981.843	514.117	
	271	982.056	514.850	
	272	982.312	515.560	
	273	982.598	516.063	
	274	983.090	516.783	
	275	983.582	517.532	
	276	983.904	518.277	
	277	983.942	519.552	
	278	983.955	520.567	
	279	983.955	521.841	
	280	984.141	523.521	
	281	984.474	525.032	
	282	984.549	526.958	
	283	984.568	529.178	
	284	984.491	531.403	
	285	984.609	533.631	
	286	984.706	535.489	
	287	984.782	537.079	
	288	985.294	538.084	
	289	985.903	538.636	
	290	986.382	538.919	
	291	986.832	539.008	
	292	987.308	539.215	
	293	987.548	539.480	
	294	987.704	540.044	
	295	987.773	540.617	
	296	988.272	541.073	
	297	989.099	540.636	
	298	989.428	540.894	
	299	989.593	541.355	
	300	989.771	541.395	
	301	989.914	541.416	


End of Keyframe Data

