Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	1104.000	704.000	
	1	1102.087	697.843	
	2	1100.238	693.321	
	3	1097.935	689.929	
	4	1095.653	687.363	
	5	1093.218	684.803	
	6	1090.688	682.297	
	7	1088.383	679.445	
	8	1086.191	675.892	
	9	1084.412	671.547	
	10	1082.260	666.504	
	11	1080.386	661.248	
	12	1079.002	655.224	
	13	1077.919	648.451	
	14	1077.690	641.896	
	15	1077.740	635.667	
	16	1078.129	630.388	
	17	1078.405	625.954	
	18	1078.645	623.061	
	19	1078.352	620.542	
	20	1078.149	618.571	
	21	1078.102	616.328	
	22	1077.997	613.965	
	23	1078.064	610.851	
	24	1077.732	607.174	
	25	1076.708	602.250	
	26	1074.765	597.113	
	27	1072.704	590.633	
	28	1070.602	583.626	
	29	1068.615	577.273	
	30	1066.507	571.303	
	31	1064.677	566.808	
	32	1062.486	563.664	
	33	1060.308	561.085	
	34	1058.055	559.200	
	35	1055.883	557.060	
	36	1054.202	554.187	
	37	1052.627	551.017	
	38	1051.610	547.286	
	39	1050.263	542.849	
	40	1049.671	537.958	
	41	1049.528	532.550	
	42	1049.924	526.507	
	43	1050.302	520.305	
	44	1050.820	514.947	
	45	1051.230	510.495	
	46	1051.277	507.201	
	47	1051.842	504.685	
	48	1052.295	502.839	
	49	1052.649	501.117	
	50	1052.281	499.231	
	51	1052.740	496.473	
	52	1052.807	493.423	
	53	1053.190	489.422	
	54	1053.491	485.014	
	55	1053.343	480.721	
	56	1052.632	475.864	
	57	1051.487	470.681	
	58	1049.696	464.753	
	59	1046.429	458.523	
	60	1042.324	452.727	
	61	1038.742	448.090	
	62	1036.624	445.597	
	63	1035.601	445.097	
	64	1035.363	445.857	
	65	1035.080	446.341	
	66	1034.213	446.208	
	67	1033.133	445.695	
	68	1032.073	445.925	
	69	1031.382	446.188	
	70	1030.890	445.714	
	71	1030.669	444.205	
	72	1030.054	441.306	
	73	1029.304	437.085	
	74	1027.957	432.577	
	75	1025.940	428.178	
	76	1024.269	425.057	
	77	1022.660	423.279	
	78	1021.403	422.709	
	79	1020.433	423.073	
	80	1019.571	423.939	
	81	1018.734	425.454	
	82	1017.965	426.729	
	83	1016.537	427.718	
	84	1015.224	428.660	
	85	1013.567	429.165	
	86	1012.797	429.643	
	87	1012.614	429.696	
	88	1012.866	429.695	
	89	1013.915	429.952	
	90	1015.427	430.488	
	91	1017.195	431.243	
	92	1019.315	432.841	
	93	1021.191	435.116	
	94	1022.766	437.884	
	95	1023.727	440.195	
	96	1024.301	441.383	
	97	1024.499	441.735	
	98	1024.677	441.477	
	99	1024.413	441.344	
	100	1024.407	441.576	
	101	1024.585	442.695	
	102	1024.474	444.663	
	103	1024.178	447.106	
	104	1023.425	450.131	
	105	1022.856	452.873	
	106	1021.825	454.404	
	107	1020.916	455.977	
	108	1020.108	457.094	
	109	1019.727	457.844	
	110	1019.348	459.065	
	111	1019.266	460.363	
	112	1019.390	461.854	
	113	1019.488	463.006	
	114	1020.195	464.045	
	115	1020.529	464.787	
	116	1021.260	465.458	
	117	1022.057	466.056	
	118	1023.063	466.573	
	119	1023.899	467.373	
	120	1025.283	469.123	
	121	1026.583	471.687	
	122	1027.518	474.836	
	123	1028.202	478.418	
	124	1028.872	481.668	
	125	1029.279	484.257	
	126	1029.685	486.239	
	127	1029.212	487.482	
	128	1028.844	488.186	
	129	1027.656	488.212	
	130	1026.519	487.497	
	131	1025.196	486.645	
	132	1023.317	485.474	
	133	1021.665	483.999	
	134	1019.944	482.815	
	135	1018.019	481.971	
	136	1016.249	481.713	
	137	1014.956	481.499	
	138	1012.544	481.221	
	139	1010.797	480.697	
	140	1009.304	480.111	
	141	1008.260	479.177	
	142	1007.173	478.229	
	143	1006.936	477.304	
	144	1006.514	476.395	
	145	1006.504	475.636	
	146	1006.718	475.140	
	147	1006.920	474.595	
	148	1006.977	474.274	
	149	1006.497	473.978	
	150	1005.595	473.754	
	151	1004.378	473.545	
	152	1002.997	473.555	
	153	1001.504	473.351	
	154	999.746	473.085	
	155	998.032	473.066	
	156	996.282	472.801	
	157	994.320	472.474	
	158	992.094	471.870	
	159	989.810	470.880	
	160	987.145	470.166	
	161	984.315	468.499	
	162	980.831	467.043	
	163	977.002	465.608	
	164	973.130	464.515	
	165	968.916	464.224	
	166	964.782	464.122	
	167	959.547	464.400	
	168	954.937	465.322	
	169	949.426	466.603	
	170	943.917	468.165	
	171	937.431	469.258	
	172	931.523	470.698	
	173	925.296	471.967	
	174	918.929	472.944	
	175	912.503	473.541	
	176	906.179	473.936	
	177	899.529	474.133	
	178	893.020	474.126	
	179	886.764	474.138	
	180	879.813	473.753	
	181	872.824	472.724	
	182	866.884	471.711	
	183	860.570	470.657	
	184	854.088	469.192	
	185	847.903	468.058	
	186	841.824	467.622	
	187	835.783	467.426	
	188	829.512	467.323	
	189	824.246	467.357	
	190	818.477	467.240	
	191	813.518	466.846	
	192	808.752	465.823	
