Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	1132.000	1028.000	
	1	1129.982	1024.114	
	2	1128.546	1020.984	
	3	1127.210	1017.442	
	4	1125.944	1013.159	
	5	1125.548	1008.654	
	6	1124.588	1003.795	
	7	1123.823	998.254	
	8	1124.481	992.707	
	9	1126.634	987.082	
	10	1128.890	980.242	
	11	1131.389	971.801	
	12	1133.729	962.707	
	13	1135.005	953.725	
	14	1136.596	946.050	
	15	1137.964	938.959	
	16	1139.362	934.326	
	17	1140.822	930.343	
	18	1141.306	927.072	
	19	1141.319	923.586	
	20	1141.057	920.061	
	21	1140.275	915.714	
	22	1139.703	911.331	
	23	1138.950	906.459	
	24	1137.109	901.226	
	25	1135.316	895.793	
	26	1132.855	889.678	
	27	1130.612	882.404	
	28	1128.159	873.888	
	29	1125.511	865.107	
	30	1123.150	856.660	
	31	1120.884	849.894	
	32	1119.478	845.350	
	33	1118.117	841.445	
	34	1117.075	837.973	
	35	1115.971	835.103	
	36	1114.670	831.767	
	37	1113.549	828.099	
	38	1112.547	823.821	
	39	1111.070	818.661	
	40	1109.841	813.332	
	41	1108.440	807.448	
	42	1107.469	800.663	
	43	1107.422	793.671	
	44	1107.458	785.902	
	45	1107.647	778.636	
	46	1107.867	772.580	
	47	1108.305	766.951	
	48	1108.302	762.954	
	49	1108.193	759.782	
	50	1108.463	756.973	
	51	1108.791	753.980	
	52	1109.714	751.115	
	53	1110.456	747.620	
	54	1110.811	743.633	
	55	1110.787	739.109	
	56	1110.433	733.457	
	57	1108.877	726.607	
	58	1107.623	719.129	
	59	1105.745	711.412	
	60	1104.298	704.470	
	61	1102.359	698.291	
	62	1100.495	693.748	
	63	1098.186	690.360	
	64	1095.867	687.759	
	65	1093.437	685.227	
	66	1090.901	682.690	
	67	1088.585	679.849	
	68	1086.398	676.318	
	69	1084.620	671.960	
	70	1082.468	666.915	
	71	1080.590	661.648	
	72	1079.215	655.627	
	73	1078.135	648.853	
	74	1077.889	642.308	
	75	1077.942	636.078	
	76	1078.307	630.794	
	77	1078.569	626.379	
	78	1078.796	623.474	
	79	1078.509	620.958	
	80	1078.319	618.993	
	81	1078.260	616.733	
	82	1078.175	614.367	
	83	1078.232	611.250	
	84	1077.870	607.547	
	85	1076.838	602.623	
	86	1074.886	597.483	
	87	1072.824	591.012	
	88	1070.721	583.998	
	89	1068.743	577.639	
	90	1066.636	571.667	
	91	1064.808	567.191	
	92	1062.602	564.039	
	93	1060.430	561.458	
	94	1058.201	559.577	
	95	1056.033	557.431	
	96	1054.336	554.560	
	97	1052.767	551.398	
	98	1051.747	547.660	
	99	1050.399	543.241	
	100	1049.821	538.341	
	101	1049.670	532.937	
	102	1050.089	526.914	
	103	1050.442	520.714	
	104	1051.004	515.370	
	105	1051.405	510.915	
	106	1051.461	507.615	
	107	1052.047	505.114	
	108	1052.474	503.270	
	109	1052.847	501.532	
	110	1052.486	499.650	
	111	1052.963	496.886	
	112	1053.021	493.830	
	113	1053.377	489.827	
	114	1053.672	485.428	
	115	1053.535	481.153	
