Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	371.000	487.000	
	1	370.789	488.451	
	2	370.240	489.525	
	3	369.786	490.127	
	4	368.745	490.586	
	5	367.947	490.850	
	6	366.854	490.845	
	7	365.516	491.288	
	8	364.249	491.859	
	9	362.695	492.661	
	10	360.871	493.877	
	11	359.065	495.138	
	12	357.126	496.432	
	13	355.064	497.721	
	14	352.853	499.227	
	15	350.494	500.157	
	16	347.732	500.775	
	17	344.710	501.257	
	18	341.585	501.032	
	19	338.354	500.492	
	20	335.029	500.192	
	21	331.935	500.042	
	22	328.738	500.430	
	23	325.724	501.166	
	24	322.817	502.398	
	25	320.245	503.841	
	26	317.908	505.516	
	27	315.816	507.413	
	28	313.732	509.278	
	29	312.345	510.762	
	30	310.998	511.734	
	31	310.263	512.508	
	32	309.800	513.170	
	33	309.779	513.685	
	34	310.250	514.442	
	35	311.094	515.122	
	36	312.353	515.685	
	37	313.739	516.653	
	38	315.195	517.240	
	39	317.058	517.748	
	40	319.210	518.500	
	41	321.527	519.031	
	42	324.324	519.342	
	43	327.513	520.018	
	44	330.483	520.719	
	45	333.832	521.281	
	46	337.334	521.843	
	47	341.090	522.615	
	48	344.932	523.360	
	49	348.921	524.136	
	50	352.820	525.027	
	51	356.687	525.926	
	52	360.580	526.750	
	53	364.387	527.500	
	54	368.065	528.126	
	55	371.733	528.527	
	56	375.519	529.148	
	57	378.966	529.598	
	58	382.095	530.100	
	59	384.950	530.568	
	60	387.757	530.834	
	61	390.316	531.339	
	62	392.938	531.787	
	63	395.276	532.316	
	64	397.567	532.788	
	65	399.513	533.289	
	66	401.489	533.711	
	67	403.336	533.875	
	68	405.239	534.135	
	69	407.730	534.565	
	70	410.542	534.969	
	71	413.164	535.847	
	72	415.658	536.865	
	73	418.328	537.901	
	74	421.172	539.112	
	75	424.295	539.957	
	76	427.292	541.088	
	77	430.608	541.911	
	78	434.143	542.482	
	79	437.448	543.119	
	80	441.023	543.554	
	81	444.258	543.891	
	82	447.420	544.276	
	83	450.469	544.581	
	84	453.642	544.746	
	85	456.401	544.913	
	86	459.362	544.506	
	87	462.040	543.939	
	88	464.992	543.010	
	89	467.854	541.982	
	90	470.919	540.996	
	91	473.703	540.597	
	92	476.928	540.014	
	93	479.917	539.619	
	94	483.182	538.913	
	95	486.215	538.489	
	96	489.480	537.523	
	97	492.648	536.718	
	98	495.794	535.829	
	99	499.114	535.014	
	100	502.293	534.210	
	101	505.921	533.390	
	102	509.513	532.116	
	103	513.429	530.148	
	104	517.282	527.698	
	105	521.013	525.162	
	106	524.245	522.883	
	107	527.516	520.853	
	108	530.194	519.420	
	109	532.798	518.042	
	110	535.048	516.758	
	111	537.082	515.223	
	112	538.629	513.771	
	113	540.105	511.735	
	114	541.222	510.073	
	115	542.687	508.187	
	116	544.055	506.541	
	117	545.751	504.580	
	118	547.478	503.290	
	119	549.391	501.554	
	120	551.396	500.528	
	121	553.665	499.330	
	122	555.867	498.589	
	123	558.367	497.947	
	124	561.048	497.442	
	125	563.850	497.037	
	126	566.682	496.461	
	127	569.525	495.493	
	128	572.386	493.857	
	129	574.904	492.111	
	130	577.794	489.586	
	131	580.359	487.976	
	132	583.375	486.445	
	133	586.223	485.693	
	134	588.974	485.056	
	135	591.322	484.749	
	136	593.257	483.798	
	137	594.466	482.672	
	138	594.949	481.879	
	139	595.465	480.329	
	140	595.849	479.040	
	141	596.131	477.823	
	142	596.277	476.865	
	143	596.570	475.677	
	144	596.472	474.684	
	145	596.419	473.727	
	146	596.110	472.946	
	147	595.510	472.130	
	148	594.759	471.388	
	149	593.548	470.673	
	150	592.202	470.060	
	151	590.673	469.114	
	152	588.653	467.888	
	153	586.486	466.272	
	154	584.226	464.499	
	155	581.704	461.792	
	156	581.704	461.792	
	157	580.767	460.621	
	158	580.263	459.329	
	159	579.219	458.540	
	160	578.579	457.727	
	161	578.292	457.190	
	162	578.427	456.778	
	163	578.673	456.255	
	164	579.187	456.008	
	165	580.199	455.322	
	166	580.653	455.105	
	167	581.455	454.404	
	168	581.876	453.872	
	169	582.210	452.979	
	170	582.341	451.655	
	171	581.533	450.790	
	172	580.823	449.309	
	173	579.464	448.157	
	174	578.017	446.678	
	175	576.106	445.735	
	176	574.506	444.490	
	177	572.795	443.907	
	178	570.903	443.022	
	179	568.792	442.533	
	180	566.957	441.806	
	181	564.811	441.185	
	182	562.817	439.804	
	183	560.603	437.843	
	184	557.963	436.041	
	185	555.331	434.459	
	186	552.481	433.206	
	187	549.477	432.071	
	188	546.786	430.867	
	189	544.412	429.591	
	190	542.243	428.792	
	191	540.395	428.064	
	192	538.205	427.262	
	193	536.110	426.961	
	194	534.161	426.697	
