Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	1105.000	187.000	
	1	1107.707	188.778	
	2	1108.880	189.780	
	3	1108.207	190.138	
	4	1105.684	191.017	
	5	1101.823	193.557	
	6	1097.928	196.561	
	7	1094.454	198.315	
	8	1092.249	198.323	
	9	1091.872	198.300	
	10	1091.934	198.722	
	11	1092.027	199.799	
	12	1091.597	200.445	
	13	1090.812	200.837	
	14	1090.412	201.050	
	15	1089.894	200.953	
	16	1089.633	200.777	
	17	1089.556	200.673	
	18	1089.446	200.741	
	19	1089.453	200.853	
	20	1089.211	201.195	
	21	1089.084	200.920	
	22	1088.973	200.653	
	23	1088.972	200.654	
	24	1089.354	200.667	
	25	1089.780	200.429	
	26	1089.931	200.415	
	27	1089.992	200.641	
	28	1090.038	200.841	
	29	1090.038	200.893	
	30	1089.611	200.813	
	31	1088.442	200.059	
	32	1085.466	198.213	
	33	1081.742	196.279	
	34	1077.881	194.111	
	35	1072.724	191.621	
	36	1066.630	188.358	
	37	1059.029	184.115	
	38	1049.096	181.457	
	39	1039.490	179.367	
	40	1039.490	179.367	
	41	1038.192	180.095	
	42	1040.640	179.739	
	43	1042.401	179.434	
	44	1042.401	179.434	
	45	1038.413	179.591	
	46	1034.843	179.944	
	47	1032.276	179.997	
	48	1031.727	180.342	
	49	1031.944	180.620	
	50	1031.639	180.325	
	51	1031.159	180.176	
	52	1031.625	179.995	
	53	1031.654	179.784	
	54	1031.565	179.597	
	55	1031.550	179.557	
	56	1031.549	179.558	
	57	1031.604	179.557	
	58	1031.746	179.410	
	59	1031.735	179.298	
	60	1032.394	179.175	
	61	1032.971	179.251	
	62	1033.805	179.156	
	63	1034.834	179.360	
	64	1036.188	179.453	
	65	1038.485	179.978	
	66	1042.053	180.771	
	67	1046.766	182.957	
	68	1050.694	185.531	
	69	1052.807	186.447	
	70	1054.178	186.452	
	71	1055.876	186.597	
	72	1058.215	187.189	
	73	1061.681	187.864	
	74	1065.998	189.121	
	75	1071.203	192.012	
	76	1076.274	194.205	
	77	1080.031	195.031	
	78	1083.514	194.742	
	79	1085.094	194.815	
	80	1085.152	194.365	
	81	1084.963	194.150	
	82	1084.918	195.609	
	83	1085.243	197.869	
	84	1084.823	199.676	
	85	1083.729	199.865	
	86	1082.525	199.559	
	87	1081.545	198.799	
	88	1081.580	197.846	
	89	1081.843	197.485	
	90	1082.611	197.323	
	91	1083.061	197.038	
	92	1084.034	196.857	
	93	1085.372	196.267	
	94	1086.790	196.377	
	95	1089.532	196.929	
	96	1093.782	198.429	
	97	1098.890	201.177	
	98	1104.737	206.623	
	99	1109.284	211.085	
	100	1111.502	212.767	
	101	1111.979	212.853	
	102	1111.959	212.603	
	103	1110.843	211.876	
	104	1109.979	211.557	
	105	1109.933	211.517	
	106	1110.738	211.932	
	107	1112.251	213.130	
	108	1113.919	214.646	
	109	1115.593	215.901	
	110	1117.982	216.614	
	111	1120.967	216.478	
	112	1124.301	215.227	
	113	1128.614	215.056	
	114	1134.889	215.417	
	115	1139.983	218.469	
	116	1145.350	222.667	
	117	1148.367	228.328	
	118	1150.300	233.528	
	119	1150.251	234.355	
	120	1148.293	232.294	
	121	1146.089	227.844	
	122	1143.444	223.818	
	123	1140.925	221.588	
	124	1140.232	220.771	
	125	1140.228	220.892	
	126	1140.070	220.956	
	127	1139.926	220.612	
	128	1139.343	219.752	
	129	1138.674	218.567	
	130	1137.748	217.493	
	131	1136.769	216.478	
	132	1136.351	216.075	
	133	1136.523	216.295	
	134	1136.554	216.577	
	135	1136.309	216.777	
	136	1135.822	216.928	
	137	1135.543	217.087	
	138	1135.128	217.647	
	139	1134.838	218.462	
	140	1134.821	219.429	
	141	1134.581	220.482	
	142	1134.600	221.195	
	143	1134.517	221.460	
	144	1134.428	221.558	
	145	1134.439	220.958	
	146	1134.730	218.963	
	147	1134.833	216.931	
	148	1134.776	215.837	
	149	1134.749	215.901	
	150	1134.170	215.490	
	151	1133.005	213.359	
	152	1130.830	209.256	
	153	1128.019	203.922	
	154	1124.907	198.860	
	155	1122.032	195.204	
	156	1118.213	193.874	
	157	1114.200	193.996	
