Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	858.000	200.000	
	1	863.300	207.057	
	2	868.757	216.739	
	3	873.874	227.862	
	4	878.396	239.629	
	5	881.658	248.916	
	6	884.300	254.531	
	7	886.118	257.481	
	8	887.687	257.538	
	9	889.706	255.653	
	10	891.925	253.396	
	11	894.956	252.138	
	12	898.832	252.215	
	13	903.445	253.553	
	14	907.982	254.678	
	15	912.465	254.269	
	16	917.517	252.910	
	17	922.384	250.308	
	18	926.734	247.640	
	19	930.557	246.748	
	20	934.326	248.968	
	21	938.380	254.282	
	22	943.110	262.699	
	23	948.380	272.412	
	24	955.031	280.090	
	25	963.278	284.092	
	26	973.455	283.914	
	27	986.593	279.478	
	28	1000.576	272.213	
	29	1014.936	263.642	
	30	1029.554	256.496	
	31	1045.531	252.228	
	32	1063.341	251.457	
	33	1081.432	253.587	
	34	1098.861	255.719	
	35	1114.025	256.649	
	36	1127.259	256.917	
	37	1138.208	256.000	
	38	1148.253	253.485	
	39	1157.706	250.216	
	40	1166.987	246.344	
	41	1175.817	242.284	
	42	1184.460	238.287	
	43	1193.678	235.207	
	44	1203.125	234.346	
	45	1213.929	234.457	
	46	1224.763	237.719	
	47	1236.693	243.026	
	48	1246.941	252.559	
	49	1255.643	257.583	
	50	1262.192	257.046	
	51	1266.652	256.393	
	52	1269.727	253.803	
	53	1272.288	250.212	
	54	1274.635	246.554	
	55	1276.480	245.608	
	56	1278.567	244.804	
	57	1279.942	244.384	
	58	1281.255	243.205	
	59	1281.910	242.118	
	60	1281.898	240.833	
	61	1281.760	239.840	
	62	1281.593	239.327	
	63	1281.323	239.362	
	64	1281.177	239.282	
	65	1280.561	239.691	
	66	1280.224	240.677	
	67	1279.935	241.584	
	68	1279.227	242.132	
	69	1278.643	242.106	
	70	1278.552	241.492	
	71	1278.786	240.940	
	72	1279.140	240.686	
	73	1279.406	240.406	
	74	1279.728	239.915	
	75	1280.091	239.394	
	76	1280.275	238.945	
	77	1279.841	238.390	
	78	1279.147	237.259	
	79	1278.536	236.977	
	80	1278.157	236.716	
	81	1278.115	236.575	
	82	1276.834	236.382	
	83	1276.834	236.382	
	84	1273.307	242.113	
	85	1267.463	246.727	
	86	1259.984	249.295	
	87	1251.205	250.267	
	88	1241.719	248.756	
	89	1231.670	244.845	
	90	1220.473	239.841	
	91	1208.242	234.989	
	92	1195.301	232.245	
	93	1182.453	230.694	
	94	1169.496	230.338	
	95	1156.781	231.903	
	96	1144.922	234.176	
	97	1133.953	236.525	
	98	1123.627	239.070	
	99	1114.362	241.774	
	100	1105.132	243.528	
	101	1095.262	243.596	
	102	1084.935	241.654	
	103	1073.615	237.528	
	104	1061.891	232.241	
	105	1049.892	227.215	
	106	1037.446	222.558	
	107	1025.405	219.242	
	108	1013.468	217.959	
	109	1002.240	219.062	
	110	990.314	222.196	
	111	978.060	225.691	
	112	966.156	228.463	
	113	954.456	229.473	
	114	943.425	228.175	
	115	932.303	224.758	
	116	921.126	220.086	
	117	909.402	215.531	
	118	897.600	211.644	
	119	885.380	209.085	
	120	873.400	209.202	
	121	861.257	211.417	
	122	849.178	214.987	
