Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	880.000	198.000	
	1	885.460	205.628	
	2	890.951	215.325	
	3	895.975	227.519	
	4	900.376	239.983	
	5	903.760	249.905	
	6	906.256	256.263	
	7	908.240	259.906	
	8	909.834	260.679	
	9	911.914	259.192	
	10	914.282	257.283	
	11	917.264	256.490	
	12	920.768	257.221	
	13	925.332	259.057	
	14	929.832	260.107	
	15	934.402	259.343	
	16	939.303	257.506	
	17	944.306	254.938	
	18	948.931	252.534	
	19	953.022	251.580	
	20	956.913	253.587	
	21	961.175	258.830	
	22	965.674	267.315	
	23	970.865	277.282	
	24	977.244	285.152	
	25	984.962	289.113	
	26	995.072	288.727	
	27	1007.758	284.007	
	28	1022.016	276.380	
	29	1034.589	268.208	
	30	1048.498	261.209	
	31	1063.094	256.724	
	32	1079.738	255.587	
	33	1096.392	257.543	
	34	1112.578	258.887	
	35	1126.172	259.686	
	36	1136.917	259.618	
	37	1147.279	258.682	
	38	1156.548	256.034	
	39	1165.734	251.769	
	40	1174.587	247.706	
	41	1183.266	242.876	
	42	1190.708	239.421	
	43	1199.022	236.367	
	44	1208.148	236.531	
	45	1219.103	235.558	
	46	1229.612	239.688	
	47	1242.147	243.289	
	48	1251.747	252.936	
	49	1260.017	259.137	
	50	1266.357	259.591	
	51	1270.593	259.220	
	52	1273.258	258.600	
	53	1275.680	255.601	
	54	1278.061	252.409	
	55	1279.827	251.581	
	56	1282.020	250.727	
	57	1283.260	250.539	
	58	1284.140	250.089	
	59	1284.368	249.551	
	60	1283.919	248.738	
	61	1283.246	248.349	
	62	1282.668	248.211	
	63	1282.462	248.236	
	64	1282.306	248.150	
	65	1281.887	248.426	
	66	1281.913	249.043	
	67	1281.888	249.636	
	68	1281.431	249.965	
	69	1280.916	249.923	
	70	1280.687	249.480	
	71	1280.715	249.112	
	72	1280.897	248.970	
	73	1281.047	248.777	
	74	1281.264	248.421	
	75	1281.261	248.157	
	76	1281.144	247.922	
	77	1280.690	247.546	
	78	1280.070	247.209	
	79	1279.616	247.034	
	80	1279.212	247.035	
	81	1279.288	247.050	
	82	1278.356	247.169	
	83	1274.663	251.281	
	84	1269.183	258.241	
	85	1262.120	264.647	
	86	1254.447	267.771	
	87	1244.911	266.712	
	88	1235.683	264.321	
	89	1224.859	260.743	
	90	1213.161	255.498	
	91	1200.831	251.049	
	92	1188.274	249.459	
	93	1172.952	246.329	
	94	1158.960	246.502	
	95	1145.552	245.055	
	96	1131.488	247.972	
	97	1119.240	250.359	
	98	1108.344	252.840	
	99	1098.109	255.054	
	100	1088.087	257.026	
	101	1077.868	257.212	
	102	1067.321	256.166	
	103	1054.694	251.989	
	104	1043.385	247.107	
	105	1032.170	242.158	
	106	1020.090	238.517	
	107	1010.111	235.841	
	108	998.605	236.788	
	109	989.073	237.870	
	110	975.489	240.924	
	111	965.047	244.925	
	112	952.882	247.771	
	113	937.887	247.966	
	114	924.093	245.887	
	115	910.054	242.694	
	116	898.023	237.326	
	117	886.333	232.793	
	118	874.643	229.445	
	119	863.233	226.329	
	120	851.733	226.348	
	121	840.096	229.245	
	122	827.731	233.302	
	123	818.709	237.452	
	124	802.598	234.762	
	125	791.302	234.142	
	126	777.213	230.970	
	127	769.984	229.537	
	128	761.460	228.078	
	129	754.219	227.870	
