Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	14.000	92.000	
	1	14.855	91.772	
	2	15.789	91.610	
	3	16.649	91.672	
	4	19.113	91.540	
	5	21.338	91.757	
	6	23.948	92.435	
	7	26.687	93.373	
	8	29.680	94.713	
	9	32.850	96.071	
	10	36.518	97.299	
	11	40.087	98.493	
	12	43.713	98.985	
	13	47.608	98.959	
	14	51.291	98.647	
	15	54.421	98.244	
	16	57.553	98.506	
	17	60.372	98.344	
	18	62.597	98.197	
	19	64.873	97.758	
	20	67.354	97.508	
	21	69.553	96.944	
	22	71.605	96.979	
	23	73.942	97.254	
	24	75.951	98.289	
	25	78.686	99.577	
	26	81.219	101.761	
	27	83.965	103.795	
	28	86.779	106.184	
	29	89.539	108.427	
	30	92.186	110.069	
	31	94.820	111.044	
	32	97.383	111.759	
	33	99.933	112.425	
	34	102.394	112.718	
	35	104.922	112.724	
	36	107.782	112.446	
	37	110.921	111.850	
	38	113.790	111.402	
	39	116.990	111.157	
	40	120.404	111.178	
	41	123.620	111.730	
	42	127.369	112.898	
	43	130.965	114.661	
	44	134.720	116.710	
	45	138.663	118.916	
	46	142.478	120.946	
	47	146.306	122.473	
	48	150.206	123.464	
	49	153.816	123.667	
	50	157.225	123.847	
	51	160.571	123.815	
	52	163.587	123.893	
	53	166.426	123.634	
	54	169.088	123.401	
	55	171.615	123.142	
	56	174.192	123.260	
	57	176.673	123.762	
	58	179.446	124.775	
	59	181.997	126.231	
	60	184.927	128.470	
	61	187.966	130.750	
	62	191.044	133.169	
	63	194.573	135.416	
	64	197.588	137.572	
	65	200.358	139.111	
	66	203.196	140.005	
	67	205.905	140.422	
	68	208.740	140.534	
	69	211.354	140.516	
	70	214.353	140.336	
	71	217.181	139.896	
	72	220.201	139.570	
	73	223.356	139.276	
	74	226.779	139.439	
	75	230.267	139.992	
	76	233.864	140.978	
	77	237.556	142.476	
	78	241.670	144.257	
	79	245.669	146.505	
	80	249.837	148.665	
	81	254.111	150.660	
	82	258.362	151.989	
	83	262.606	152.880	
	84	266.635	153.362	
	85	270.816	153.475	
	86	274.765	153.193	
	87	278.141	152.983	
	88	281.014	152.514	
	89	283.779	152.264	
	90	286.617	152.083	
	91	289.386	152.326	
	92	292.425	153.107	
	93	295.424	154.373	
	94	298.655	156.127	
	95	301.942	158.386	
	96	305.494	160.795	
	97	308.990	163.553	
	98	312.539	165.945	
	99	316.032	167.700	
	100	319.430	168.901	
	101	322.610	169.620	
	102	325.946	170.144	
