Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	569.000	310.000	
	1	568.395	309.963	
	2	568.008	309.941	
	3	567.581	310.053	
	4	566.683	310.177	
	5	566.230	310.179	
	6	565.682	310.425	
	7	564.962	310.579	
	8	564.706	310.823	
	9	564.032	311.151	
	10	563.907	311.151	
	11	563.411	311.462	
	12	563.127	311.543	
	13	562.872	311.533	
	14	562.492	311.789	
	15	562.378	311.753	
	16	562.099	311.835	
	17	561.838	311.837	
	18	561.820	311.606	
	19	561.600	311.684	
	20	561.508	311.613	
	21	561.430	311.622	
	22	561.314	311.795	
	23	561.338	311.617	
	24	561.338	311.617	
	25	561.093	311.269	
	26	560.968	310.699	
	27	560.323	310.171	
	28	560.081	309.586	
	29	559.829	309.347	
	30	559.599	309.068	
	31	559.437	308.902	
	32	559.015	309.123	
	33	558.461	309.127	
	34	557.752	309.367	
	35	556.703	309.564	
	36	555.491	309.963	
	37	554.168	311.000	
	38	552.627	311.745	
	39	551.165	312.799	
	40	549.674	313.731	
	41	548.376	314.442	
	42	547.171	315.341	
	43	546.035	315.726	
	44	544.903	316.272	
	45	543.837	316.692	
	46	542.751	316.680	
	47	541.516	316.753	
	48	539.900	316.799	
	49	538.354	317.031	
	50	536.779	317.650	
	51	535.361	318.123	
	52	533.838	318.997	
	53	532.629	319.501	
	54	531.345	319.769	
	55	529.817	319.745	
	56	528.037	319.228	
	57	526.279	318.671	
	58	524.633	318.033	
	59	522.822	317.221	
	60	520.944	316.747	
	61	519.774	316.196	
	62	518.813	315.712	
	63	518.144	315.222	
	64	517.683	314.617	
	65	517.496	314.351	
	66	517.382	313.993	
	67	516.983	313.603	
	68	516.298	313.322	
	69	515.617	313.134	
	70	514.977	313.709	
	71	514.646	314.416	
	72	514.594	315.145	
	73	514.917	316.006	
	74	515.595	316.453	
	75	516.372	316.893	
	76	517.030	317.117	
	77	517.755	317.142	
	78	518.433	317.370	
	79	518.945	317.325	
	80	519.567	317.340	
	81	519.869	317.302	
	82	520.313	317.281	
	83	520.568	317.530	
	84	520.769	317.627	
	85	521.005	317.795	
	86	521.155	317.994	
	87	521.363	317.964	
	88	521.370	317.923	
	89	521.505	317.656	
	90	521.808	317.373	
	91	522.050	317.150	
	92	522.212	316.844	
	93	522.393	316.679	
	94	522.661	316.445	
	95	522.737	316.369	
	96	523.045	316.338	
	97	523.158	316.282	
	98	523.308	316.280	
	99	523.333	316.244	
	100	523.238	316.217	
	101	523.189	316.214	
	102	523.171	316.210	
	103	522.982	316.176	
	104	522.806	316.185	
	105	522.741	316.189	
	106	522.637	316.193	
	107	522.499	316.197	
	108	522.380	316.350	
	109	522.073	316.514	
	110	521.602	316.962	
	111	521.055	317.723	
	112	520.331	318.378	
	113	519.892	318.750	
	114	519.681	318.432	
	115	519.466	317.537	
	116	519.558	316.318	
	117	519.442	314.873	
	118	519.639	314.152	
	119	519.853	313.874	
	120	519.821	314.396	
	121	519.716	315.654	
	122	519.481	316.472	
	123	519.368	316.735	
	124	519.370	316.731	
	125	519.477	316.240	
	126	519.615	316.021	
	127	519.776	315.712	
	128	519.778	315.712	
	129	519.941	315.804	
	130	520.020	315.906	
	131	520.046	315.946	
	132	520.247	315.847	
	133	520.589	315.623	
	134	520.937	315.373	
	135	521.324	314.935	
	136	521.528	314.870	
	137	521.545	314.875	
	138	521.568	315.246	
	139	521.547	315.888	
	140	521.539	316.542	
	141	521.595	317.126	
	142	521.468	317.375	
	143	521.479	317.372	
	144	521.326	317.302	
	145	521.030	317.173	
	146	520.783	317.177	
	147	520.822	317.184	
	148	520.983	317.334	
	149	521.084	317.391	
	150	521.097	317.394	
	151	520.962	317.423	
	152	520.659	317.870	
	153	520.848	318.602	
	154	521.575	319.667	
	155	522.904	321.232	
	156	524.341	322.931	
	157	525.606	324.425	
	158	526.630	325.691	
	159	527.607	327.276	
	160	528.359	328.816	
	161	528.784	330.150	
	162	528.876	331.408	
	163	528.300	332.652	
	164	527.194	333.971	
	165	526.018	335.452	
	166	524.629	337.284	
	167	523.510	339.448	
	168	522.995	341.636	
	169	523.199	343.972	
	170	524.014	346.058	
	171	525.188	347.170	
	172	526.375	347.656	
	173	527.409	347.424	
	174	528.628	346.875	
	175	530.100	346.103	
	176	533.075	345.031	
	177	538.365	343.822	
	178	546.860	341.814	
	179	556.081	338.863	
	180	563.620	335.031	
	181	568.075	330.637	
	182	569.438	326.820	
	183	569.335	323.346	
	184	568.391	320.488	
	185	567.354	318.488	
	186	566.717	316.851	
	187	566.532	315.651	
	188	566.699	314.850	
	189	565.311	314.542	
	190	560.964	314.924	
	191	553.121	315.595	
	192	544.985	316.496	
	193	538.386	317.664	
	194	533.661	318.777	
	195	529.934	319.585	
	196	527.091	319.320	
	197	525.103	318.353	
	198	523.978	317.216	
	199	523.389	316.255	
	200	523.269	315.628	
	201	523.417	315.155	
	202	523.891	314.978	
	203	524.187	315.030	
	204	524.466	315.012	
	205	525.050	315.087	
	206	525.367	315.209	
	207	525.752	315.397	
	208	526.193	315.634	
	209	526.201	315.700	
	210	526.371	315.862	
	211	526.554	315.976	
	212	526.641	315.978	
	213	526.771	315.942	
	214	527.011	315.806	
	215	527.205	315.645	
	216	527.385	315.478	
	217	527.568	315.162	
	218	527.549	315.402	
	219	527.178	316.545	
	220	526.378	318.106	
	221	525.611	319.335	
	222	525.128	319.891	
	223	524.981	319.939	
	224	524.991	319.898	
	225	524.961	319.589	
	226	524.835	319.271	
	227	524.814	318.993	
	228	524.824	318.880	
	229	524.896	318.868	
	230	524.841	318.738	
	231	524.891	318.950	
	232	525.123	319.640	
	233	525.197	320.781	
	234	525.290	322.291	
	235	525.356	323.160	
	236	525.745	323.596	
	237	526.482	323.320	
	238	527.538	322.424	
	239	528.334	321.375	
	240	529.004	319.961	
	241	529.614	318.852	
	242	529.986	317.973	
	243	530.214	317.341	
	244	530.222	317.343	
	245	530.220	317.380	
	246	529.927	317.545	
	247	529.617	317.824	
	248	529.354	318.076	
	249	529.080	318.352	
	250	528.985	318.424	
	251	528.735	318.638	
	252	528.689	318.798	
	253	528.687	318.800	
	254	529.215	318.993	
	255	530.214	319.554	
	256	531.390	320.285	
	257	532.460	321.081	
	258	532.928	321.509	
	259	532.828	321.499	
	260	532.154	321.514	
	261	531.169	321.255	
	262	530.200	320.807	
	263	529.841	320.452	
	264	529.631	320.072	
	265	529.593	319.820	
	266	529.518	319.576	
	267	529.326	319.333	
	268	529.188	319.090	
	269	529.123	318.858	
	270	528.718	318.548	
	271	528.492	318.277	
	272	528.386	318.267	
	273	528.366	318.257	
	274	528.351	318.243	
	275	528.239	318.228	
	276	527.892	318.008	
	277	527.741	318.044	
	278	527.313	317.831	
	279	526.620	317.378	
	280	526.249	317.030	
	281	526.053	316.923	
	282	526.264	317.081	
	283	526.379	317.168	
	284	526.626	316.977	
	285	526.788	316.871	
	286	527.010	316.605	
	287	527.040	316.525	
	288	527.208	316.657	
	289	527.473	316.855	
	290	527.861	317.467	
	291	528.378	317.881	
	292	529.537	318.445	
	293	531.593	319.383	
	294	534.437	320.720	
	295	538.744	323.100	
	296	545.087	326.846	
	297	551.885	330.690	
	298	558.386	334.050	
	299	563.481	336.089	
	300	566.814	337.266	
	301	566.804	337.078	
	302	564.649	335.470	
	303	561.335	332.021	
	304	557.665	327.502	
	305	553.822	323.361	
	306	549.833	320.127	
	307	545.951	317.613	
	308	541.913	315.527	
	309	538.195	312.744	
	310	535.052	310.559	
	311	532.133	309.550	
	312	529.045	309.676	
	313	525.844	311.382	
	314	522.574	312.500	
	315	519.930	312.447	
	316	518.306	311.884	
	317	516.652	311.169	
	318	514.906	311.397	
	319	512.787	312.102	
	320	510.409	313.143	
	321	508.289	314.038	
	322	506.305	314.365	
	323	504.650	314.547	
	324	503.095	314.782	
	325	501.576	315.316	
	326	500.356	316.536	
	327	499.049	317.682	
	328	497.880	318.626	
	329	497.274	319.229	
	330	497.343	319.324	
	331	497.818	319.562	
	332	498.853	319.664	
	333	500.362	320.085	
	334	502.541	321.006	
	335	505.355	321.324	
	336	509.397	321.440	
	337	516.163	321.166	
	338	525.202	321.810	
	339	536.682	324.032	
	340	551.161	327.643	
	341	568.233	332.422	
	342	585.570	336.369	
	343	600.556	337.990	
	344	611.865	337.512	
	345	620.055	335.266	
	346	626.392	330.683	
	347	633.798	323.534	
	348	637.294	314.264	
	349	641.523	303.480	
	350	645.486	291.111	
	351	649.814	278.976	
	352	654.560	265.278	
	353	658.974	251.979	
	354	662.765	239.836	
	355	666.089	229.700	
	356	669.429	220.597	
	357	672.996	213.469	
	358	676.676	207.879	
	359	681.192	203.693	
	360	685.946	200.690	
	361	691.818	198.649	
	362	698.243	197.722	
	363	705.022	198.041	
	364	712.600	198.784	
	365	720.487	199.499	
	366	730.079	199.581	
	367	740.092	198.854	
	368	752.008	197.531	
	369	764.942	195.302	
	370	777.836	193.170	
	371	790.175	191.791	
	372	801.821	190.595	
	373	813.534	189.170	
	374	824.116	188.075	
	375	834.410	187.846	
	376	844.335	188.489	
	377	853.318	189.567	
	378	863.615	191.457	
	379	873.772	193.154	
	380	884.957	194.981	
	381	895.053	197.221	
	382	906.548	198.714	
	383	905.274	191.984	
	384	917.011	192.800	
	385	929.130	194.196	
	386	941.772	195.128	
	387	954.782	195.746	
	388	969.278	195.844	
	389	983.873	195.153	
	390	998.769	193.772	
	391	1012.784	193.302	
	392	1025.652	193.107	
	393	1038.706	193.500	
	394	1051.650	195.196	
	395	1064.250	197.586	
	396	1076.832	200.742	
	397	1089.130	204.019	
	398	1101.999	206.685	
	399	1114.228	208.776	
	400	1126.790	208.958	
	401	1139.672	208.447	
	402	1152.581	208.103	
	403	1166.002	207.471	
	404	1179.169	206.569	
	405	1192.062	205.393	
	406	1204.648	204.915	
	407	1216.836	205.038	
	408	1229.136	205.758	
	409	1241.354	207.507	
	410	1253.291	210.024	
	411	1265.606	213.392	
	412	1278.025	217.420	
	413	1290.400	221.258	
	414	1303.004	224.530	
	415	1314.950	226.525	
	416	1326.952	227.842	
	417	1339.078	228.583	
	418	1350.528	227.867	
	419	1360.978	226.548	
	420	1370.710	224.971	
	421	1380.094	225.573	
	422	1388.249	226.067	
	423	1400.433	225.145	
	424	1405.825	227.286	
	425	1413.375	228.774	
	426	1418.187	229.381	
	427	1423.821	230.038	
	428	1431.919	229.860	
	429	1438.687	228.694	
	430	1445.646	228.427	
	431	1451.752	228.112	
	432	1459.115	228.569	
	433	1461.145	229.486	
	434	1466.311	230.381	
	435	1470.348	231.654	
	436	1473.740	232.364	
	437	1476.516	232.606	
	438	1477.913	232.777	
	439	1479.683	233.110	
	440	1482.212	233.728	
	441	1484.982	234.655	
	442	1486.997	236.607	
	443	1489.260	238.157	
	444	1491.490	240.046	
	445	1492.792	241.044	
	446	1493.339	241.511	
	447	1494.275	241.494	
	448	1494.576	241.351	
	449	1495.122	240.970	
	450	1495.256	240.849	
	451	1495.796	240.412	
	452	1496.251	240.231	
	453	1496.610	240.282	
	454	1497.183	240.252	
	455	1497.432	240.256	
	456	1497.491	240.275	
	457	1497.536	240.194	
	458	1497.294	240.175	
	459	1497.514	239.745	
	460	1497.701	238.986	
	461	1497.377	237.499	
	462	1495.876	234.873	
	463	1493.292	232.086	
	464	1490.498	228.893	
	465	1487.617	226.411	
	466	1484.995	225.285	
	467	1482.903	225.293	
	468	1481.421	226.498	
	469	1480.068	228.394	
	470	1478.987	230.699	
	471	1477.922	233.085	
	472	1476.848	233.897	
	473	1475.550	233.525	
	474	1473.727	231.591	
	475	1471.533	229.425	
	476	1468.868	227.606	
	477	1465.997	226.874	
	478	1463.452	227.423	
	479	1461.306	228.980	
	480	1459.796	230.920	
	481	1458.573	232.736	
	482	1457.441	233.324	
	483	1455.509	233.394	
	484	1453.817	232.840	
	485	1452.196	232.188	
	486	1450.110	231.793	
	487	1450.073	232.074	
	488	1450.474	233.148	
	489	1450.920	235.063	
	490	1451.439	237.201	
	491	1451.758	238.671	
	492	1451.830	238.984	
	493	1451.751	238.689	
	494	1451.269	238.095	
	495	1450.500	237.290	
	496	1450.025	236.788	
	497	1449.437	236.411	
	498	1449.243	236.581	
	499	1449.033	236.977	
	500	1449.158	237.515	
	501	1449.500	238.354	
	502	1449.596	238.510	
	503	1449.519	238.574	
	504	1449.214	238.272	
	505	1448.712	237.464	
	506	1448.908	236.860	
	507	1448.696	236.403	
	508	1448.927	236.233	
	509	1449.036	236.286	
	510	1449.583	236.348	
	511	1450.019	236.426	
	512	1450.464	236.200	
	513	1451.234	235.525	
	514	1452.483	235.007	
	515	1453.761	234.581	
	516	1455.025	234.815	
	517	1456.519	235.128	
	518	1458.595	235.766	
	519	1460.793	235.796	
	520	1462.761	235.749	
	521	1464.547	235.988	
	522	1466.380	235.753	
	523	1467.215	236.303	
	524	1466.456	236.402	
	525	1462.624	235.064	
	526	1457.703	232.793	
	527	1451.636	229.328	
	528	1443.906	226.962	
	529	1436.877	225.677	
	530	1429.403	224.258	
	531	1422.770	224.027	
	532	1416.939	224.720	
	533	1411.002	225.595	
	534	1406.490	225.616	
	535	1403.339	223.725	
	536	1401.624	220.205	
	537	1400.628	217.018	
	538	1399.318	215.393	
	539	1397.515	215.388	
	540	1395.767	216.115	
	541	1393.280	217.958	
	542	1391.663	219.909	
	543	1390.061	220.894	
	544	1388.964	220.523	
	545	1387.704	219.455	
	546	1386.225	218.440	
	547	1384.685	218.458	
	548	1382.458	219.365	
	549	1380.187	220.949	
	550	1377.838	221.892	
	551	1375.435	221.601	
	552	1372.578	220.575	
	553	1369.731	219.333	
	554	1367.122	219.017	
	555	1364.948	220.070	
	556	1364.143	221.705	
	557	1365.744	223.639	
	558	1369.387	225.730	
	559	1377.086	228.006	
	560	1386.437	229.498	
	561	1395.465	230.575	
	562	1405.769	231.676	
	563	1415.432	232.735	
	564	1422.595	233.669	
	565	1427.448	234.332	
	566	1430.390	234.303	
	567	1433.432	234.004	
	568	1435.626	233.437	
	569	1437.701	233.006	
	570	1439.517	232.849	
	571	1441.249	232.818	
	572	1443.147	233.077	
	573	1445.209	233.449	
	574	1447.551	233.663	
	575	1449.285	233.926	
	576	1450.722	234.300	
	577	1452.253	234.590	
	578	1454.133	235.165	
	579	1455.671	235.581	
	580	1457.315	236.145	
	581	1459.267	236.497	
	582	1460.980	236.654	
	583	1462.588	237.005	
	584	1464.139	237.087	
	585	1465.558	237.348	
	586	1466.791	237.654	
	587	1468.082	237.822	
	588	1468.917	238.353	
	589	1469.610	238.429	
	590	1470.655	238.713	
	591	1471.376	238.791	
	592	1471.821	238.765	
	593	1472.189	238.771	
	594	1472.642	238.354	
	595	1473.346	237.997	
	596	1473.701	237.863	
	597	1474.217	237.618	
	598	1474.621	237.854	
	599	1475.240	238.079	
	600	1475.698	238.323	
	601	1475.650	238.265	
	602	1476.051	238.021	
	603	1476.210	237.902	
	604	1476.437	237.656	
	605	1476.846	237.663	
	606	1477.095	238.176	
	607	1477.650	238.464	
	608	1477.980	238.956	
	609	1478.084	239.254	
	610	1478.246	239.565	
	611	1478.015	240.018	
	612	1477.119	240.054	
	613	1476.292	240.037	
	614	1475.173	239.746	
	615	1474.134	239.732	
	616	1472.878	240.035	
	617	1472.014	240.097	
	618	1471.377	240.631	
	619	1470.455	241.652	
	620	1470.043	242.500	
	621	1469.681	243.733	
	622	1469.549	244.608	
	623	1469.349	245.620	
	624	1469.318	246.458	
	625	1469.227	247.530	
	626	1469.432	248.149	
	627	1469.314	248.655	
	628	1469.471	249.224	
	629	1469.465	249.340	
	630	1469.388	249.445	
	631	1469.233	249.592	
	632	1469.133	249.771	
	633	1468.836	250.136	
	634	1468.575	250.167	
	635	1467.834	249.920	
	636	1467.625	249.824	
	637	1466.864	249.570	
	638	1466.289	249.343	
	639	1465.964	249.170	
	640	1465.325	248.763	
	641	1465.126	248.503	
	642	1464.791	248.186	
	643	1464.561	247.783	
	644	1464.824	247.823	
	645	1464.824	247.861	
	646	1464.926	247.689	
	647	1464.823	247.299	
	648	1464.636	246.531	
	649	1464.897	244.841	
	650	1464.684	243.744	
	651	1464.995	242.767	
	652	1465.718	242.156	
	653	1465.971	241.792	
	654	1466.681	241.538	
	655	1466.990	240.714	
	656	1467.132	239.354	
	657	1468.071	238.412	
	658	1468.152	237.488	
	659	1468.989	237.048	
	660	1469.623	236.741	
	661	1471.066	236.227	
	662	1471.469	235.883	
	663	1472.109	234.702	
	664	1472.375	233.404	
	665	1472.527	232.197	
	666	1471.674	231.388	
	667	1471.204	231.291	
	668	1469.979	231.395	
