Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	949.000	432.000	
	1	948.727	431.997	
	2	948.406	432.121	
	3	948.109	432.306	
	4	947.622	432.305	
	5	947.309	432.393	
	6	946.735	432.474	
	7	946.292	432.423	
	8	946.073	432.394	
	9	945.847	432.404	
	10	945.887	432.539	
	11	945.944	432.681	
	12	946.093	433.032	
	13	946.255	433.129	
	14	946.308	433.190	
	15	946.352	433.181	
	16	946.380	433.177	
	17	946.363	433.089	
	18	946.515	432.921	
	19	946.538	432.683	
	20	946.549	432.672	
	21	946.409	432.701	
	22	946.380	432.769	
	23	946.279	432.873	
	24	946.214	432.860	
	25	946.203	432.863	
	26	945.979	432.873	
	27	945.915	432.877	
	28	945.702	432.873	
	29	945.516	432.824	
	30	945.270	432.792	
	31	945.065	432.696	
	32	944.771	432.580	
	33	944.503	432.419	
	34	944.270	432.419	
	35	944.080	432.376	
	36	943.915	432.353	
	37	943.809	432.353	
	38	943.708	432.233	
	39	943.795	432.191	
	40	943.769	432.171	
	41	943.826	432.098	
	42	943.994	432.074	
	43	944.115	432.031	
	44	944.307	432.050	
	45	944.682	432.138	
	46	944.833	432.171	
	47	944.968	432.170	
	48	945.165	432.181	
	49	945.165	432.181	
	50	945.014	432.182	
	51	944.846	432.192	
	52	944.713	432.194	
	53	944.570	432.237	
	54	944.293	432.292	
	55	944.199	432.332	
	56	944.018	432.344	
	57	943.830	432.317	
	58	943.738	432.312	
	59	943.722	432.272	
	60	943.721	432.252	
	61	943.723	432.245	
	62	943.795	432.300	
	63	943.853	432.293	
	64	943.853	432.293	
	65	943.847	432.310	
	66	943.904	432.323	
	67	943.946	432.287	
	68	943.962	432.272	
	69	943.980	432.255	
	70	943.981	432.254	
	71	943.959	432.232	
	72	943.899	432.214	
	73	943.816	432.205	
	74	943.817	432.172	
	75	943.818	432.148	
	76	943.854	432.151	
	77	943.845	432.131	
	78	943.871	432.108	
	79	943.907	432.105	
	80	943.907	432.105	
	81	943.907	432.105	
	82	943.939	432.101	
	83	944.015	432.084	
	84	944.015	432.084	
	85	944.025	432.085	
	86	944.076	432.069	
	87	944.158	432.096	
	88	944.145	432.136	
	89	944.145	432.137	
	90	944.137	432.160	
	91	944.130	432.180	
	92	944.135	432.156	
	93	944.135	432.156	
	94	944.135	432.156	
	95	944.141	432.124	
	96	944.142	432.117	
	97	944.142	432.118	
	98	944.142	432.118	
	99	944.144	432.110	
	100	944.094	432.112	
	101	944.065	432.108	
	102	944.065	432.108	
	103	944.042	432.119	
	104	944.017	432.144	
	105	944.004	432.195	
	106	944.026	432.361	
	107	944.322	432.520	
	108	945.073	432.788	
	109	946.341	433.130	
	110	948.245	433.493	
	111	950.772	434.028	
	112	953.566	434.620	
	113	956.380	435.293	
	114	959.028	435.937	
	115	961.227	436.583	
	116	962.982	437.217	
	117	964.207	437.688	
	118	965.082	437.910	
	119	965.569	438.151	
	120	966.044	438.145	
	121	966.298	438.394	
	122	966.540	438.632	
	123	967.067	438.888	
	124	967.311	439.399	
	125	967.562	439.893	
	126	967.779	440.285	
	127	967.819	440.600	
	128	967.729	440.901	
	129	967.564	441.057	
	130	967.392	441.236	
	131	966.625	441.416	
	132	966.361	441.424	
	133	965.868	441.425	
	134	965.326	441.488	
	135	965.254	441.568	
	136	965.067	441.779	
	137	964.961	442.418	
	138	965.288	443.187	
	139	965.525	443.914	
	140	966.049	444.397	
	141	966.540	444.397	
	142	967.286	443.649	
	143	967.794	442.857	
	144	968.220	442.139	
	145	968.601	441.818	
	146	968.873	441.879	
	147	969.264	442.334	
	148	969.522	442.885	
	149	969.509	443.444	
	150	969.440	443.907	
	151	969.139	444.173	
	152	968.790	444.185	
	153	968.552	443.957	
	154	967.982	443.693	
	155	967.761	443.227	
	156	967.273	442.686	
	157	966.245	442.377	
	158	964.769	442.300	
	159	963.551	442.296	
	160	962.132	442.426	
	161	960.748	442.713	
	162	959.444	443.151	
	163	958.385	443.509	
	164	957.328	443.771	
	165	956.658	443.618	
	166	956.017	443.154	
	167	955.020	442.445	
	168	954.231	441.572	
	169	953.211	440.796	
	170	952.246	440.317	
	171	951.260	440.006	
	172	950.404	439.870	
	173	949.789	440.096	
	174	949.331	440.234	
	175	948.884	440.268	
	176	948.778	440.258	
	177	948.516	440.132	
	178	948.439	439.791	
	179	948.443	439.317	
	180	948.421	438.704	
	181	948.391	438.155	
	182	948.165	437.875	
	183	947.867	437.699	
	184	947.762	438.054	
	185	947.495	438.173	
	186	947.384	438.602	
	187	947.251	438.724	
	188	947.118	438.728	
	189	947.259	438.626	
	190	947.011	438.356	
	191	946.999	437.882	
	192	946.658	437.494	
	193	946.579	437.134	
	194	946.494	436.875	
	195	946.229	436.847	
	196	946.131	436.858	
	197	946.013	437.081	
	198	945.923	437.130	
	199	945.988	437.360	
	200	946.047	437.584	
	201	946.047	437.583	
	202	946.047	437.583	
	203	946.081	437.465	
	204	946.254	437.262	
	205	946.168	437.109	
	206	946.182	436.973	
	207	946.248	436.825	
	208	946.164	436.832	
	209	946.173	436.801	
	210	946.164	436.832	
	211	946.079	436.834	
	212	946.132	436.877	
	213	946.132	436.877	
	214	946.182	436.915	
	215	946.188	436.920	
	216	946.270	436.776	
	217	946.351	436.768	
	218	946.276	436.738	
	219	946.349	436.561	
	220	946.356	436.557	
	221	946.231	436.535	
	222	946.326	436.506	
	223	946.284	436.511	
	224	946.296	436.507	
	225	946.295	436.511	
	226	946.287	436.523	
	227	946.297	436.503	
	228	946.334	436.581	
	229	946.336	436.567	
	230	946.340	436.591	
	231	946.374	436.657	
	232	946.455	436.583	
	233	946.473	436.721	
	234	946.467	436.737	
	235	946.465	436.736	
	236	946.472	436.898	
	237	946.615	436.839	
	238	946.642	436.877	
	239	946.642	436.877	
	240	946.800	436.852	
	241	946.839	436.900	
	242	947.309	436.385	
	243	947.618	435.654	
	244	948.092	434.709	
	245	948.570	433.568	
	246	948.776	432.885	
	247	948.800	432.353	
	248	948.794	432.153	
	249	948.526	432.286	
	250	948.281	432.306	
	251	947.685	432.808	
	252	947.252	433.241	
	253	946.469	433.838	
	254	945.553	434.533	
	255	944.823	434.932	
	256	944.138	435.777	
	257	943.934	436.497	
	258	943.967	437.095	
	259	944.272	437.730	
	260	944.753	437.999	
	261	945.303	438.032	
	262	945.722	437.786	
	263	946.234	437.147	
	264	946.657	436.685	
	265	946.892	435.996	
	266	947.174	435.517	
	267	947.400	435.194	
	268	947.624	434.762	
	269	947.618	434.574	
	270	947.700	434.220	
	271	947.725	434.068	
	272	948.004	434.010	
	273	947.739	433.814	
	274	947.751	434.042	
	275	947.753	434.115	
	276	947.781	434.440	
	277	947.761	434.789	
	278	947.761	435.086	
	279	947.597	435.637	
	280	947.831	436.113	
	281	947.805	436.499	
	282	947.853	437.097	
	283	947.847	437.331	
	284	947.636	437.698	
	285	947.847	437.709	
	286	947.871	437.694	
	287	947.788	437.523	
	288	947.842	437.208	
	289	947.615	437.006	
	290	947.556	436.568	
	291	947.612	436.286	
	292	947.450	436.078	
	293	947.611	435.650	
	294	947.402	435.544	
	295	947.425	435.285	
	296	947.533	435.102	
	297	947.378	435.088	
	298	947.540	434.823	
	299	947.603	434.956	
	300	947.517	435.076	
	301	947.599	435.170	
	302	947.402	435.418	
	303	947.387	435.512	
	304	947.417	435.742	
	305	947.272	435.958	
	306	947.405	436.022	
	307	947.242	436.249	
	308	947.220	436.246	
	309	947.441	436.253	
	310	947.187	436.254	
	311	947.306	436.262	
	312	947.186	436.264	
	313	947.187	436.258	
	314	947.185	436.261	
	315	947.102	436.266	
	316	947.119	436.224	
	317	947.124	436.221	
	318	947.044	436.177	
	319	947.203	436.120	
	320	947.171	436.075	
	321	947.181	435.845	
	322	946.967	435.710	
	323	946.917	435.572	
	324	946.891	435.416	
	325	946.648	435.473	
	326	946.673	435.564	
	327	946.665	435.563	
	328	946.468	435.571	
	329	946.465	435.550	
	330	946.468	435.538	
	331	946.640	435.541	
	332	946.662	435.574	
	333	946.657	435.701	
	334	946.772	435.706	
	335	946.531	435.703	
	336	946.704	435.798	
	337	946.575	435.895	
	338	946.570	435.911	
	339	946.619	436.115	
	340	946.595	436.210	
	341	946.566	436.276	
	342	946.654	436.315	
	343	946.532	436.301	
	344	946.533	436.295	
	345	946.512	436.295	
	346	946.511	436.268	
	347	946.683	436.283	
	348	946.546	436.261	
	349	946.547	436.261	
	350	946.472	436.317	
	351	946.342	436.312	
	352	946.394	436.369	
	353	946.351	436.384	
	354	946.352	436.382	
	355	946.355	436.482	
	356	946.292	436.408	
	357	946.280	436.496	
	358	946.280	436.499	
	359	946.259	436.511	
	360	946.255	436.592	
	361	946.832	436.438	
	362	950.527	435.975	
	363	950.527	435.975	
	364	957.786	434.099	
	365	962.038	432.663	
	366	963.175	431.778	
	367	963.498	431.514	
	368	963.188	431.469	
	369	962.489	431.470	
	370	962.479	431.520	
	371	962.034	431.508	
	372	962.011	431.494	
	373	961.731	431.520	
	374	961.498	431.502	
	375	961.377	431.535	
	376	961.253	431.559	
	377	961.177	431.616	
	378	961.006	431.681	
	379	960.932	431.569	
	380	961.120	431.614	
	381	960.919	431.635	
	382	960.918	431.639	
	383	960.925	431.790	
	384	960.920	431.715	
	385	960.916	431.794	
	386	960.863	431.806	
	387	960.783	431.800	
	388	960.782	431.799	
	389	960.632	431.810	
	390	960.602	431.887	
	391	960.602	431.887	
	392	960.602	431.887	
	393	960.583	431.958	
	394	960.522	431.954	
	395	960.522	431.954	
	396	960.522	431.954	
	397	960.471	431.956	
	398	960.525	432.078	
	399	960.404	432.035	
	400	960.404	432.035	
	401	960.347	432.063	
	402	960.195	432.106	
	403	960.281	432.174	
	404	960.193	432.143	
	405	960.146	432.172	
	406	960.232	432.210	
	407	960.105	432.253	
	408	960.133	432.348	
	409	960.134	432.346	
	410	960.101	432.366	
	411	960.100	432.365	
	412	960.050	432.359	
	413	960.126	432.597	
