Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	1470.000	796.000	
	1	1473.035	792.833	
	2	1476.865	789.968	
	3	1481.628	787.542	
	4	1488.062	785.486	
	5	1495.807	783.564	
	6	1504.641	781.560	
	7	1514.124	779.820	
	8	1523.371	778.420	
	9	1532.190	777.144	
	10	1540.576	776.869	
	11	1548.905	777.758	
	12	1557.168	779.381	
	13	1565.495	781.298	
	14	1573.423	783.305	
	15	1580.446	785.330	
	16	1586.460	787.751	
	17	1591.401	790.333	
	18	1595.528	792.199	
	19	1598.960	793.018	
	20	1601.850	793.119	
	21	1603.898	792.836	
	22	1605.126	792.508	
	23	1605.258	792.446	
	24	1604.458	792.683	
	25	1602.660	792.951	
	26	1600.303	793.055	
	27	1597.392	793.116	
	28	1593.653	793.468	
	29	1589.002	794.001	
	30	1583.856	795.283	
	31	1578.990	797.190	
	32	1574.840	799.238	
	33	1570.720	801.171	
	34	1566.306	802.654	
	35	1561.450	803.917	
	36	1556.261	804.654	
	37	1550.882	805.234	
	38	1544.773	805.944	
	39	1538.212	807.112	
	40	1530.462	808.545	
	41	1521.653	809.952	
	42	1511.315	810.907	
	43	1499.826	811.266	
	44	1488.407	811.572	
	45	1477.630	812.076	
	46	1465.947	812.450	
	47	1452.270	812.466	
	48	1436.506	812.491	
	49	1419.377	811.937	
	50	1401.941	811.243	
	51	1384.900	811.046	
	52	1368.964	810.687	
	53	1354.093	809.906	
	54	1341.484	809.486	
	55	1330.633	809.964	
	56	1321.286	811.011	
	57	1312.943	811.964	
	58	1306.181	813.492	
	59	1300.957	815.098	
	60	1296.054	815.491	
	61	1290.592	813.964	
	62	1284.369	811.693	
	63	1278.347	810.050	
	64	1272.575	809.885	
	65	1266.389	811.403	
	66	1258.069	814.203	
	67	1248.806	817.721	
	68	1239.492	823.563	
	69	1231.365	836.166	
	70	1224.437	855.385	
	71	1212.938	873.200	
	72	1198.949	881.082	
	73	1185.861	876.130	
	74	1174.790	862.270	
	75	1154.547	836.885	
	76	1147.880	817.010	
	77	1147.880	817.010	
	78	1151.416	807.996	
	79	1154.926	797.526	
	80	1156.824	782.582	
	81	1155.895	762.517	
	82	1152.231	738.440	
	83	1148.483	713.688	
	84	1146.728	689.700	
	85	1148.713	669.314	
	86	1156.164	650.228	
	87	1169.698	632.155	
	88	1188.511	614.335	
	89	1211.386	596.889	
	90	1236.837	581.350	
	91	1264.603	567.315	
	92	1294.240	553.925	
	93	1324.898	542.013	
	94	1356.305	531.047	
	95	1389.184	520.774	
	96	1389.184	520.774	
	97	1389.184	520.774	
	98	1389.184	520.774	
	99	1441.537	510.473	
	100	1495.943	500.046	
	101	1550.073	490.113	
	102	1590.069	487.930	
	103	1644.452	479.684	
	104	1704.003	470.326	
	105	1760.038	463.909	
	106	1818.000	456.869	
	107	1874.870	450.210	
	108	1932.122	444.218	
	109	1991.595	437.312	
	110	2049.437	430.706	
	111	2107.767	424.044	
	112	2165.819	417.100	
	113	2224.467	409.455	
	114	2281.921	401.459	
	115	2339.074	393.387	
	116	2397.344	384.655	
	117	2450.476	376.581	
	118	2507.264	366.841	
	119	2556.224	358.484	
	120	2603.743	349.451	
	121	2648.934	341.135	
	122	2691.736	333.181	
	123	2730.737	325.181	
	124	2768.369	317.813	
	125	2802.753	310.325	
	126	2833.277	303.303	
	127	2860.622	296.255	
	128	2882.911	289.756	
	129	2902.641	284.050	
	130	2919.645	278.057	
	131	2933.645	273.056	
	132	2943.799	269.049	
	133	2953.413	264.600	
	134	2959.637	260.133	
	135	2963.677	255.545	
	136	2966.767	251.123	
	137	2967.766	247.123	
	138	2969.771	243.121	
	139	2968.541	239.880	
	140	2969.333	236.982	
	141	2968.254	234.825	
	142	2969.623	232.834	
	143	2970.751	231.551	
	144	2972.837	230.510	
	145	2976.155	230.010	
	146	2980.195	229.645	
	147	2985.366	229.280	
	148	2990.952	229.320	
	149	2998.638	229.474	
	150	3005.592	229.485	
	151	3012.776	229.875	
	152	3019.781	230.148	
	153	3027.323	230.152	
	154	3033.716	230.220	
	155	3040.025	230.007	
	156	3045.905	229.533	
	157	3050.745	229.368	
	158	3055.677	229.151	
	159	3060.238	228.771	
	160	3064.651	228.557	
	161	3067.544	228.577	
	162	3070.964	228.599	
	163	3074.041	228.605	
	164	3076.225	229.248	
	165	3078.410	229.665	
	166	3079.716	230.490	
	167	3080.514	231.524	
	168	3081.434	232.545	
	169	3081.884	233.546	
	170	3081.786	234.223	
	171	3080.628	234.711	
	172	3079.719	234.700	
	173	3076.809	234.827	
	174	3073.354	234.503	
	175	3069.299	233.855	
	176	3064.650	233.217	
	177	3058.786	232.598	
	178	3053.182	231.804	
	179	3046.479	231.031	
	180	3040.019	230.395	
	181	3032.197	229.518	
	182	3024.442	229.049	
	183	3015.868	228.744	
	184	3007.319	228.285	
	185	2998.207	228.212	
	186	2989.205	228.205	
	187	2980.207	228.212	
