Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	858	203	
	1	863.32	209.949	
	2	868.777	219.367	
	3	873.773	230.297	
	4	878.207	241.5	
	5	881.375	250.23	
	6	883.73	254.535	
	7	886.312	256.5	
	8	887.574	255.566	
	9	889.598	253.57	
	10	891.66	251.562	
	11	894.633	250.48	
	12	898.551	250.445	
	13	903.379	251.398	
	14	908.441	251.52	
	15	912.5	251.543	
	16	917.391	250.402	
	17	922.5	246.559	
	18	926.586	244.461	
	19	930.562	243.488	
	20	934.5	245.496	
	21	938.605	250.586	
	22	943.645	258.453	
	23	949.441	267.543	
	24	955.75	275.484	
	25	964.281	279.535	
	26	973.688	280.434	
	27	986.508	276.426	
	28	1000.5	269.453	
	29	1014.5	261.469	
	30	1028.48	254.594	
	31	1043.5	251.391	
	32	1061.43	250.598	
	33	1079.56	253.398	
	34	1096.64	255.496	
	35	1111.66	256.5	
	36	1123.39	257.574	
	37	1133.38	257.5	
	38	1141.64	255.688	
	39	1150.41	253.277	
	40	1159.59	249.562	
	41	1168.09	246.191	
	42	1176.39	243.047	
	43	1185.27	240.273	
	44	1194.2	240.129	
	45	1203.05	242.145	
	46	1211.94	247.113	
	47	1222.23	255.16	
	48	1233.04	261.062	
	49	1242.12	263.941	
	50	1248.21	264.938	
	51	1253.14	262.109	
	52	1256.18	259.09	
	53	1259.15	255.098	
	54	1261.95	253.223	
	55	1263.93	252.168	
	56	1265.23	253.062	
	57	1267.05	253.051	
	58	1268.19	251.113	
	59	1269.13	250.031	
	60	1269.22	248.145	
	61	1269.26	246.91	
	62	1269.24	246.02	
	63	1269.12	246.133	
	64	1268.96	247.094	
	65	1268.01	248.227	
	66	1267.15	250.184	
	67	1266.94	252.164	
	68	1265.95	253.988	
	69	1265.09	253.977	
	70	1265.09	252.977	
	71	1265.95	252.004	
	72	1266.13	250.984	
	73	1266.95	250.125	
	74	1267.12	249.062	
	75	1268.03	247.922	
	76	1268.24	246.105	
	77	1268.97	243.973	
	78	1269	241.016	
	79	1268.15	237.105	
	80	1268.18	236.168	
	81	1268.14	238.117	
	82	1267.1	241.156	
	83	1264.96	245.062	
	84	1255.03	249.02	
	85	1248.64	252.77	
	86	1240.7	255.406	
	87	1231.26	255.605	
	88	1221.33	253.684	
	89	1210.73	249.52	
	90	1198.68	244.277	
	91	1186.53	238.699	
	92	1171.61	234.66	
	93	1156.74	232.598	
	94	1142.51	231.59	
	95	1127.75	233.527	
	96	1115.49	235.609	
	97	1102.46	237.57	
	98	1092.34	240.555	
	99	1081.48	244.441	
	100	1072.36	245.523	
	101	1061.52	245.605	
	102	1051.46	243.594	
	103	1039.57	240.461	
	104	1028.35	234.547	
	105	1015.52	230.5	
	106	1003.57	224.516	
	107	991.574	221.52	
	108	979.602	219.562	
	109	968.594	220.574	
	110	955.531	225.449	
	111	941.668	228.578	
	112	929.594	231.648	
	113	917.625	232.434	
	114	905.602	230.547	
	115	894.59	227.586	
	116	882.555	221.613	
	117	871.406	217.496	
	118	858.668	212.602	
	119	846.52	210.473	
	120	834.453	210.488	
	121	821.598	210.535	
	122	808.551	214.484	
	123	796.57	216.59	
	124	785.562	216.594	
	125	775.453	216.504	
	126	765.773	214.531	
	127	757.359	213.441	
	128	749.883	212.754	
	129	743.648	212.801	
	130	737.719	214.738	
	131	731.973	218.152	
	132	726.68	224.773	
	133	721.637	230.891	
	134	709.25	246.82	
	135	728.637	257.43	
	136	712.148	255.414	
	137	709.289	261.402	
	138	706.164	265.434	
	139	703.215	269.324	
	140	701.195	273.348	
	141	698.16	277.473	
	142	696.16	282.477	
	143	694.137	287.441	
